date,strategy_nav,benchmark_nav,excess_nav
2015-05-04,1.0,1.0,1.0
2015-05-05,1.0,0.9634407267932329,1.0379465723111507
2015-05-06,1.0,0.9497699366228536,1.0528865585657008
2015-05-07,1.0,0.9286758292510142,1.0768020104566622
2015-05-08,1.0,0.9636697385259423,1.0376999090265402
2015-05-11,1.0,1.0056092011720608,0.9944220864670659
2015-05-12,1.0,1.0276361582852955,0.9731070592811673
2015-05-13,1.0,1.036948322897378,0.9643682119142262
2015-05-14,1.0,1.035592817844256,0.9656304898692251
2015-05-15,1.0,1.0273079747196427,0.9734179278350339
2015-05-18,1.0,1.046191748738996,0.9558477221841291
2015-05-19,1.0,1.0721876942090582,0.9326725212395668
2015-05-20,1.0,1.0901065403941328,0.9173415285064207
2015-05-21,1.0,1.1302795928925757,0.8847368441297181
2015-05-22,1.0,1.1489563280853339,0.8703551001511427
2015-05-25,1.0,1.1797323794037025,0.8476498716644969
2015-05-26,1.0,1.218918178655237,0.8203996113202964
2015-05-27,1.0,1.233460247429023,0.8107273842706819
2015-05-28,1.0,1.1595612515908327,0.862395150431315
2015-05-29,1.0,1.1711259328350536,0.8538791362763242
2015-06-01,1.0,1.232399202818266,0.811425386930783
2015-06-02,1.0,1.2791756423638099,0.7817534722222222
2015-06-03,1.0,1.2901726706163847,0.7750900501730875
2015-06-04,1.0,1.2884594889525045,0.7761206375320212
2015-06-05,1.0,1.3095053029317616,0.7636471557321445
2015-06-08,0.999800544,1.2961570562227918,0.7713575597957072
2015-06-09,0.987816544,1.2941383689124035,0.763300561770812
2015-06-10,1.0210165439999999,1.3169711206687378,0.7752763352028124
2015-06-11,1.028600544,1.3355641238139184,0.7701618556978496
2015-06-12,1.049512544,1.3566672201018957,0.7735961541999768
2015-06-15,1.0352245439999999,1.3316394220256176,0.7774060506749436
2015-06-16,0.996264544,1.2784043346081144,0.779303164914094
2015-06-17,1.01472113216,1.3043382154310668,0.777958600120175
2015-06-18,1.01451772016,1.2609603029487992,0.8045596025406313
2015-06-19,0.94645132016,1.1735420594911146,0.8064911798477948
2015-06-23,0.94645132016,1.180530794910417,0.8017167567677218
2015-06-24,0.9462693809599999,1.2064684240526475,0.7843300015937316
2015-06-25,0.92223738096,1.1639886981711138,0.792307848357154
2015-06-26,0.84574138096,1.0666923291409733,0.7928634694889864
2015-06-29,0.7830533809599999,0.9969640258876086,0.7854379502438299
2015-06-30,0.82268164816,1.0464767150058851,0.7861442460813602
2015-07-01,0.8396016481599999,0.9884176581793673,0.8494401543842492
2015-07-02,0.7994016481599999,0.9206416770097954,0.8683092109803481
2015-07-03,0.78818413416,0.8642861666690754,0.9119481076477601
2015-07-06,0.78818413416,0.8502455971642496,0.9270076043777964
2015-07-07,0.78818413416,0.7947290288292754,0.9917646211075027
2015-07-08,0.78801295896,0.7757932248482783,1.0157512771706811
2015-07-09,0.83003695896,0.8103362900404807,1.0243117199138831
2015-07-10,0.9086609589599999,0.8512778772433662,1.0674081674745892
2015-07-13,0.9745169589599999,0.9042538371215447,1.0777028738546683
